Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
envoy,"Action, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
why so evil 2: dystopia,"Action, Adventure, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
choice of robots,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
nanoborg,"Action, Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
amaze,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
simairport,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
robot rescue revolution,"Casual, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
cel damage hd,"Action, Racing, Arcade",Нет описания,Teen,Средняя,Нет данных
ascension: deckbuilding game,"Action, Adventure, Strategy, Board Games, Casual, Card, Indie",Нет описания,Everyone 10+,Высокая,Нет данных
norco goodie pack,,Нет описания,Все возрастные группы,Низкая,Нет данных
lego bricktales,"Adventure, Simulation, Casual, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
fray fight,"Action, RPG, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
chrono cross: the radical dreamers edition,"Adventure, RPG",Нет описания,Teen,Низкая,Нет данных
sanabi,"Action, Adventure, Indie, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
animal shelter: prologue,"Adventure, Strategy, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
powerslave exhumed,"Action, Shooter, Adventure, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
miss furry,"Action, Adventure, RPG, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
labyrinth city: pierre the maze detective,"Adventure, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Высокая,Нет данных
disintegration technical beta,"Action, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
the outlast trials,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
deadly premonition 2: a blessing in disguise,"Action, Adventure",Нет описания,Mature,Средняя,Нет данных
mutant year zero: seed of evil,"RPG, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
red bow,"Adventure, Casual, Indie",Нет описания,Teen,Низкая,Нет данных
warlander,"Action, Adventure, RPG, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
gloom: digital edition,"Strategy, Board Games, Card",Нет описания,Teen,Низкая,Нет данных
fate/extella link,Action,Нет описания,Все возрастные группы,Высокая,Нет данных
sleepwalker (2018),"Adventure, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
central intelligence,"Action, Strategy, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
"just, bearly","Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
warlords awakening,"Action, Adventure, RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
zombies ate my neighbors (1993),"Action, Shooter, Adventure",Нет описания,Everyone 10+,Низкая,Нет данных
mortal kombat: deception,Fighting,Нет описания,Mature,Высокая,Нет данных
def jam: fight for ny,Fighting,Нет описания,Все возрастные группы,Низкая,Нет данных
yoshi's story (1997),Platformer,Нет описания,Все возрастные группы,Низкая,Нет данных
ape escape,Platformer,Нет описания,Everyone,Высокая,Нет данных
karakara2,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
mary skelter: nightmares,"Adventure, RPG, Strategy",Нет описания,Mature,Низкая,Нет данных
cybercube,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
runner3,"Action, Indie, Platformer",Нет описания,Everyone 10+,Низкая,Нет данных
phoenix dynasty 2,"Action, RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
crusaders of light,"Adventure, RPG, Strategy, Massively Multiplayer",Нет описания,Teen,Низкая,Нет данных
katamari forever,Arcade,Нет описания,Everyone,Средняя,Нет данных
space invaders: ig,Shooter,Нет описания,Everyone,Низкая,Нет данных
fable heroes,"Action, RPG",Нет описания,Everyone 10+,Низкая,Нет данных
spider-man: edge of time,Action,Нет описания,Teen,Средняя,Нет данных
defence to death,Strategy,Нет описания,Everyone,Низкая,Нет данных
fowl space,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
sherlock holmes consulting detective: the case of the mummy's curse,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
hospital manager,Simulation,Нет описания,Все возрастные группы,Низкая,Нет данных
hide & spook: the haunted alchemist,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
fullblast,"Action, Casual, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
dark eden,"RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
recovery search & rescue simulation,Simulation,Нет описания,Все возрастные группы,Низкая,Нет данных
helmet heroes,"Action, Adventure, RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
the apotheosis project,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
canvas the gallery,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
il-2 sturmovik: battle of stalingrad,Simulation,Нет описания,Все возрастные группы,Средняя,Нет данных
zombie ballz,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
life forge orpg,"RPG, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
ridge racer (2012),Racing,Нет описания,Everyone 10+,Низкая,Нет данных
super stardust ultra,,Нет описания,Everyone 10+,Низкая,Нет данных
squares,"Strategy, Casual, Indie, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
tin can,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
tandem: a tale of shadows,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
despot's game,"Strategy, Puzzle",Нет описания,Teen,Низкая,Нет данных
project morpheus: prologue,"Adventure, RPG, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
rage of car force: car crashing games,"Action, Racing, Casual, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
pokémon unite,"Action, RPG, Strategy, Massively Multiplayer",Нет описания,Все возрастные группы,Средняя,Нет данных
fault,"Action, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
atlantica global,"Action, Adventure, RPG, Strategy, Casual, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
they can't stop all of us,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
unexplored 2 the wayfarer's legacy,"Action, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
spire of sorcery – character generator,"RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
wintermoor tactics club,"Adventure, RPG, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
my little farmies,"Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
beavers be dammed,"Simulation, Racing, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
crystal reign,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
beyond the void,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
harald: a game of influence,"Strategy, Board Games, Card",Нет описания,Everyone 10+,Низкая,Нет данных
utawarerumono: mask of truth,"Adventure, RPG, Strategy, Simulation",Нет описания,Mature,Средняя,Нет данных
spark,"Action, Strategy, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
maniac mansion: day of the tentacle,"Adventure, Puzzle",Нет описания,Everyone,Высокая,Нет данных
blaster master zero,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
will: a wonderful world / will：美好世界,"Adventure, Casual, Indie, Puzzle",Нет описания,Everyone,Низкая,Нет данных
skautfold: usurper,"Action, RPG, Indie",Нет описания,Everyone,Низкая,Нет данных
rage of mages,"RPG, Strategy",Нет описания,Teen,Низкая,Нет данных
tales of monkey island,"Adventure, Puzzle",Нет описания,Teen,Низкая,Нет данных
you don't know jack hd,"Board Games, Family",Нет описания,Teen,Низкая,Нет данных
transplan,"Strategy, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
bunny must die! chelsea and the 7 devils,"Action, Adventure, Arcade, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
streets of chaos,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
act of war: direct action,Action,Нет описания,Все возрастные группы,Высокая,Нет данных
broomball vr,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
apartment 666,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
adventurezator: when pigs fly,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
clannad side stories,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
six sides of the world,"Action, Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
lex mortis,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
cubium dreams,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
nite team 4,"Adventure, Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
intruder alert: ixian operations,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
wings! remastered edition,"Action, Simulation, Arcade, Casual",Нет описания,Все возрастные группы,Средняя,Нет данных
rogue wizards,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
don't open the doors!,"Action, Adventure, RPG, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
ge neuro,"Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
the price of freedom,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
running through russia,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
hyperrogue,"RPG, Educational, Indie, Puzzle",Нет описания,Teen,Низкая,Нет данных
cuboid,Puzzle,Нет описания,Everyone 10+,Низкая,Нет данных
comet crash,"Strategy, Arcade",Нет описания,Everyone 10+,Низкая,Нет данных
labyrinth,"Action, Adventure, RPG, Strategy, Simulation, Arcade, Casual, Family, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
mortal kombat xl,Fighting,Нет описания,Все возрастные группы,Низкая,Нет данных
the last express,"Adventure, Family",Нет описания,Teen,Высокая,Нет данных
double dragon iv,Action,Нет описания,Teen,Низкая,Нет данных
sherlock holmes the awakened,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
fifa 23,"Simulation, Sports",Нет описания,Everyone,Низкая,Нет данных
bounty game,"Action, Adventure, RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
overboard! (2021),"Adventure, RPG, Indie",Нет описания,Teen,Низкая,Нет данных
mosaique neko waifus 4,"RPG, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
house flipper vr,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
train station renovation - first job,"Strategy, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
barnfinders: the pilot,"Adventure, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
eternal hope,"Adventure, Indie, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
tokyo mirage sessions #fe encore,RPG,Нет описания,Teen,Низкая,Нет данных
tales of the black forest,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
war selection,"Strategy, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
neverinth,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
death crown,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
golf peaks,"Sports, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
my free farm 2,"Adventure, Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
mario party 3,Board Games,Нет описания,Everyone,Средняя,Нет данных
the monk and the warrior. the heart of the king,"Action, RPG",Нет описания,Teen,Низкая,Нет данных
uptasia,Casual,Нет описания,Everyone,Низкая,Нет данных
lost in the tomb,"Adventure, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
grace of zordan,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
run zeus run,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
octopus bar,"Action, Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
muv-luv alternative,"Adventure, Casual",Нет описания,Mature,Низкая,Нет данных
fpv drone simulator,"Simulation, Racing",Нет описания,Все возрастные группы,Низкая,Нет данных
tank mechanic,Simulation,Нет описания,Все возрастные группы,Средняя,Нет данных
arma ii: free,"Action, Shooter, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
fallout: new vegas - dead money,"Action, RPG",Нет описания,Mature,Низкая,Нет данных
world of battles,"Strategy, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
малыш 3,Educational,Нет описания,Все возрастные группы,Низкая,Нет данных
kof98um,,Нет описания,Teen,Низкая,Нет данных
bodycount,"Action, Shooter",Нет описания,Mature,Низкая,Нет данных
1-2-switch,Family,Нет описания,Everyone 10+,Средняя,Нет данных
art of gravity,"Strategy, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
jagged alliance 2: unfinished business,Strategy,Нет описания,Mature,Средняя,Нет данных
runes: the forgotten path,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
bc kings,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
season match,"Adventure, Casual, Family, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
rake,"Action, Adventure, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
mighty gunvolt,"Action, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
wyv and keep: the temple of the lost idol,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
chronicles of a dark lord: episode ii war of the abyss,"RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
neo aquarium - the king of crustaceans,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
ilamentia,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
supreme ruler: cold war,Strategy,Нет описания,Все возрастные группы,Средняя,Нет данных
lords of the realm,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
megamagic: wizards of the neon age,"Action, Adventure, RPG, Strategy, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
survivor squad: gauntlets,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
time leap paradise super live!,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
impossible quest,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
disoriented,Indie,Нет описания,Все возрастные группы,Низкая,Нет данных
puzzle cube,"Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
totally unbalanced,"Action, Adventure, Racing, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
drift horizon online,"Action, Simulation, Sports, Racing",Нет описания,Everyone 10+,Низкая,Нет данных
ortus arena,"Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
simplerockets,"Simulation, Educational, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
turning point: fall of liberty,"Action, Shooter",Нет описания,Teen,Низкая,Нет данных
skylanders spyro's adventure,"Action, Arcade, Platformer",Нет описания,Everyone 10+,Высокая,Нет данных
siralim,"RPG, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
solitaire,"Strategy, Simulation, Board Games, Casual, Card, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
carcassonne (2010),"Strategy, Board Games, Family",Нет описания,Everyone 10+,Низкая,Нет данных
resident evil 4 - separate ways,"Action, Shooter, Adventure",Нет описания,Mature,Низкая,Нет данных
combat master: season 1,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
foretales,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
patrick's parabox,"Strategy, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
spirit of the island,"Adventure, RPG, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
scars above,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
cook-out,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
crowalt: traces of the lost colony - prologue,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
"castle rock beach, west australia","Adventure, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
drill deal: borehole (alpha),Indie,Нет описания,Все возрастные группы,Низкая,Нет данных
little witch in the woods,"Adventure, RPG, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
royal crown,"Action, Strategy, Casual, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
rustler: prologue,"Action, RPG, Racing, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
隐形守护者 the invisible guardian,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
hentai mosaique puzzle,Casual,Нет описания,Adults Only,Низкая,Нет данных
batman: arkham collection,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
warriors orochi 4,Action,Нет описания,Teen,Низкая,Нет данных
strikeforce kitty,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
please love my computer game,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
quarantine circular,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
rocket of whispers: prologue,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
guitar hero,Simulation,Нет описания,Все возрастные группы,Высокая,Нет данных
broken reality,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
lost in the forest,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
ball 2d: crazy soccer,Sports,Нет описания,Все возрастные группы,Низкая,Нет данных
robot heroes,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
tenet,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
gujian 古剑奇谭,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
football manager 2013,"Strategy, Sports",Нет описания,Все возрастные группы,Высокая,Нет данных
bullet run,"Action, Shooter",Нет описания,Все возрастные группы,Низкая,Нет данных
fallout: new vegas - honest hearts,"Action, RPG",Нет описания,Mature,Низкая,Нет данных
lineage 2: the chaotic chronicle,"RPG, Massively Multiplayer",Нет описания,Teen,Средняя,Нет данных
thief: the dark project,Action,Нет описания,Все возрастные группы,Высокая,Нет данных
kirby super star ultra,Action,Нет описания,Все возрастные группы,Высокая,Нет данных
sega superstars tennis,"Sports, Family",Нет описания,Everyone 10+,Низкая,Нет данных
samurai shodown v special,"Action, Arcade, Casual, Fighting",Нет описания,Mature,Низкая,Нет данных
jagged alliance,Strategy,Нет описания,Mature,Низкая,Нет данных
star story: the horizon escape,"Adventure, RPG, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
hocwar,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
realm of perpetual guilds,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
perfection.,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
dusk 12,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
inside me,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
dark night,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
redemption: eternal quest,"RPG, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
cloud chamber,"Adventure, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
terra nova: strike force centauri,"Action, Simulation",Нет описания,Mature,Низкая,Нет данных
slash or die,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
asteria,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
destiny of ancient kingdoms,"Action, Adventure, RPG, Strategy, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
homesick,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
egg time,"Action, Sports, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
mistfal,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
drizzlepath,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
hidden object bundle 5 in 1,"Adventure, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
the fruit of grisaia,"Adventure, Casual",Нет описания,Mature,Низкая,Нет данных
the last dream: developer's edition,"Adventure, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
nuked knight,"Action, Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
isolation,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
lost grimoires 2: shard of mystery,"Adventure, Casual, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
a lenda do herói,"Adventure, Arcade, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
low magic age,"Adventure, RPG, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
heroes of shadow guard,"RPG, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
putrefaction 2: void walker,"Action, Shooter, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the black death,"Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
trivial pursuit,Family,Нет описания,Everyone 10+,Низкая,Нет данных
rock band blitz,Arcade,Нет описания,Teen,Низкая,Нет данных
ride 2,"Simulation, Sports, Racing",Нет описания,Everyone,Средняя,Нет данных
remnant ii,"Action, Adventure, RPG",Нет описания,Mature,Низкая,Нет данных
zero sievert,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
hell is others,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
rogue: genesia,"Action, RPG, Strategy, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
world seed,"RPG, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
saya no uta ~ the song of saya director's cut,"Adventure, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
new hokage servant,,Нет описания,Все возрастные группы,Низкая,Нет данных
king of crabs,"Action, Simulation, Arcade, Casual, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
ib,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
sequence storm,"Action, Racing, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
digimon survive,"RPG, Strategy",Нет описания,Teen,Средняя,Нет данных
shoottera,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
switchblade (2018),"Action, Simulation",Нет описания,Everyone 10+,Низкая,Нет данных
balloon fight (1985),"Action, Arcade",Нет описания,Everyone,Низкая,Нет данных
space invaders (1978),"Action, Shooter, Arcade",Нет описания,Все возрастные группы,Низкая,Нет данных
google spotlight stories: son of jaguar,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
ghost recon wildlands ghost war open beta,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
island dash,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
radical spectrum: volume 2,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
ping,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
persian nights: sands of wonders,"Adventure, Casual, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
teenage mutant ninja turtles: out of the shadows,"Action, Adventure",Нет описания,Teen,Низкая,Нет данных
ice age: dawn of the dinosaurs,"Action, Adventure, Arcade, Platformer",Нет описания,Everyone 10+,Средняя,Нет данных
open season,"Action, Arcade, Family",Нет описания,Everyone 10+,Низкая,Нет данных
persona q: shadow of the labyrinth,RPG,Нет описания,Все возрастные группы,Высокая,Нет данных
trainz settle and carlisle,Simulation,Нет описания,Все возрастные группы,Низкая,Нет данных
archon classic,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
galagan's island: reprymian rising,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
hellangel,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
3drpg,"Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
the puppet master,Indie,Нет описания,Все возрастные группы,Низкая,Нет данных
the floor is jelly,Indie,Нет описания,Все возрастные группы,Высокая,Нет данных
an imp? a fiend!,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
pirates vs corsairs: davy jones's gold,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
vrchaeology: prologue,"Adventure, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
f-117a nighthawk stealth fighter 2.0,Simulation,Нет описания,Teen,Низкая,Нет данных
inner silence,"Action, Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
bitku,Indie,Нет описания,Все возрастные группы,Низкая,Нет конкурентов
redemption: saints and sinners,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
turn around,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
dynamic,"Action, Adventure, Sports, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
strategy & tactics: dark ages,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
goocubelets,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
8-bit armies: arena (free),"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
cubixx hd,"Action, Indie, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
metal gear solid: the legacy collection,"Action, Adventure",Нет описания,Mature,Низкая,Нет данных
tony hawk's pro skater 5,"Sports, Arcade",Нет описания,Teen,Низкая,Нет данных
astlibra revision,"Action, Adventure, RPG","Astlibra Revision is a side scrolling 2D action RPG. It contains various reinforcement elements, exhilarating combat, rare equipment, battles with huge bosses, beautiful art, and long story. Estimated playtime: 40+ hours",Все возрастные группы,Низкая,Нет данных
freestylefootball r,"Action, RPG, Sports, Casual, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
cursed to golf,"Action, Adventure, Sports, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
piggy: hunt,"Action, Adventure, Strategy, Casual, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
getsufumaden: undying moon,"Action, Indie, Platformer",Нет описания,Mature,Низкая,Нет данных
mad games tycoon 2,"Strategy, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
nhl 94 rewind,Sports,Нет описания,Все возрастные группы,Низкая,Нет данных
down in bermuda,"Adventure, Casual, Indie, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
vault of the void,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
path of exile 2,"RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
musynx / 同步音律喵赛克,"Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
jupiter hell,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
babylon's fall,"Action, RPG",Нет описания,Teen,Низкая,Нет данных
push,"Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
